Sample_name,COSMIC_sample_ID,Tumour_location,Screening_method,Sample_type,Cell_line_source,Sample_source
"
                HCC-15",COSS1240143,"
              Lung (Carcinoma; Squamous cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HCC-33",COSS1303901,"
              Lung (Carcinoma; Small cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HCC-366",COSS1240144,"
              Lung (Carcinoma; Non small cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HCC-44",COSS1240145,"
              Lung (Carcinoma; Adenocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HCC-56",COSS1290907,"
              Large intestine (Carcinoma; Adenocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HCC-78",COSS1290908,"
              Lung (Carcinoma; Adenocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HCC-827",COSS1240146,"
              Lung (Carcinoma; Adenocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HCC1143",COSS749710,"
              Breast (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCC1187",COSS749711,"
              Breast (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCC1395",COSS749712,"
              Breast (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HCC1419",COSS907045,"
              Breast (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCC1428",COSS1290905,"
              Breast (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HCC1500",COSS1303900,"
              Breast (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HCC1569",COSS907046,"
              Breast (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCC1599",COSS749713,"
              Breast (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCC1806",COSS907047,"
              Breast (Carcinoma; Ductal carcinoma; Squamous cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCC1937",COSS749714,"
              Breast (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCC1954",COSS749709,"
              Breast (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCC202",COSS1290906,"
              Breast (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HCC2157",COSS749715,"
              Breast (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCC2218",COSS749716,"
              Breast (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCC2998",COSS905971,"
              Large intestine; Colon (Carcinoma; Adenocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCC38",COSS749717,"
              Breast (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HCC70",COSS907048,"
              Breast (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCE-4",COSS753559,"
              Oesophagus (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCT-116",COSS905936,"
              Large intestine; Colon (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HCT-15",COSS905937,"
              Large intestine; Colon (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HD-MY-Z",COSS907050,"
              Haematopoietic and lymphoid; Lymph node (Lymphoid neoplasm; Hodgkin lymphoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                HDLM-2",COSS924110,"
              Haematopoietic and lymphoid; Lymph node (Lymphoid neoplasm; Hodgkin lymphoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                HDQ-P1",COSS1290922,"
              Breast (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HEC-1",COSS907051,"
              Endometrium (Carcinoma; Adenocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HEL",COSS907053,"
              Haematopoietic and lymphoid (Haematopoietic neoplasm; Acute myeloid leukaemia; M6)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HGC-27",COSS907055,"
              Stomach (Carcinoma; Adenocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HH",COSS907056,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; Adult T cell lymphoma-leukaemia)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HL-60",COSS905938,"
              Haematopoietic and lymphoid (Haematopoietic neoplasm; Acute myeloid leukaemia; M3)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HLE",COSS907057,"
              Liver (Carcinoma; Hepatocellular carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HMV-II",COSS907058,"
              Skin (Malignant melanoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HN",COSS907059,"
              Upper aerodigestive tract; Mouth; Mouth roof (Carcinoma; Squamous cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                HO-1-N-1",COSS924111,"
              Salivary gland; Buccal mucosa (Carcinoma; Mucoepidermoid carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HO-1-u-1",COSS753561,"
              Upper aerodigestive tract; Head neck (Carcinoma; Squamous cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HOP-62",COSS905972,"
              Lung (Carcinoma; Adenocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HOP-92",COSS905973,"
              Lung (Carcinoma; Large cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HOS",COSS907060,"
              Bone (Osteosarcoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HPAC",COSS1298136,"
              Pancreas (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HPAF-II",COSS724869,"
              Pancreas (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                HSC-2",COSS753562,"
              Upper aerodigestive tract; Head neck (Carcinoma; Squamous cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HSC-3",COSS907061,"
              Upper aerodigestive tract; Mouth; Tongue (Carcinoma; Squamous cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HSC-39",COSS1322224,"
              Stomach (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HSC-4",COSS907062,"
              Upper aerodigestive tract; Mouth; Tongue (Carcinoma; Squamous cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HT",COSS907063,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; B cell lymphoma unspecified)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                HT-1080",COSS907064,"
              Soft tissue; Fibrous tissue and uncertain origin (Fibrosarcoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HT-115",COSS907289,"
              Large intestine; Colon (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HT-1197",COSS907065,"
              Urinary tract; Bladder (Carcinoma; Transitional cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HT-1376",COSS907066,"
              Urinary tract; Bladder (Carcinoma; Transitional cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HT-144",COSS907067,"
              Skin (Malignant melanoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HT-29",COSS905939,"
              Large intestine; Colon (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HT-3",COSS907068,"
              Cervix (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HT55",COSS907287,"
              Large intestine; Colon (Carcinoma; Adenocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HTC-C3",COSS924151,"
              Thyroid (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HUH-6-clone5",COSS907070,"
              Liver (Carcinoma; Hepatocellular carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HUTU-80",COSS907073,"
              Small intestine; Duodenum (Carcinoma; Adenocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HeLa",COSS1298134,"
              Cervix (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                Hep_3B2_1-7",COSS1240147,"
              NS (NS)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                Hey",COSS1479988,"
              Ovary (Carcinoma; Serous carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                Hs-445",COSS1322218,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; Hodgkin lymphoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                Hs-578-T",COSS905957,"
              Breast (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                Hs633T",COSS1240149,"
              Soft tissue; Fibrous tissue and uncertain origin (Fibrosarcoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",NS,NS,NS
"
                Hs683",COSS1240150,"
              Central nervous system; Brain (Glioma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                Hs746T",COSS1240151,"
              Stomach (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                Hs766T",COSS1298141,"
              Pancreas (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                Hs939-T",COSS1298144,"
              Skin (Malignant melanoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                Hs940-T",COSS1298145,"
              Skin (Malignant melanoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                HuCCT1",COSS907069,"
              Biliary tract; Bile duct (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HuH-7",COSS907071,"
              Liver (Carcinoma; Hepatocellular carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HuO-3N1",COSS909977,"
              Bone (Osteosarcoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HuO9",COSS907072,"
              Bone; Femur (Osteosarcoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                HuP-T3",COSS907285,"
              Pancreas (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                HuP-T4",COSS907286,"
              Pancreas (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                IA-LM",COSS910779,"
              Lung (Carcinoma; Large cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                IGR-1",COSS907169,"
              Skin (Malignant melanoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                IGR-37",COSS1240153,"
              Skin (Malignant melanoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                IGROV-1",COSS905968,"
              Ovary (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                IHH-4",COSS1240154,"
              Thyroid (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                IM-9",COSS753563,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; Plasma cell myeloma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                IM-95",COSS1240155,"
              Stomach (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                IMR-5",COSS907170,"
              Autonomic ganglia (Neuroblastoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                IPC-298",COSS907171,"
              Skin (Malignant melanoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                IST-MEL1",COSS907172,"
              Skin (Malignant melanoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                IST-MES1",COSS907173,"
              Pleura (Mesothelioma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                IST-SL1",COSS753564,"
              Lung (Carcinoma; Small cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                IST-SL2",COSS753565,"
              Lung (Carcinoma; Small cell carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                huH-1",COSS1298146,"
              Liver (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                J82",COSS753566,"
              Urinary tract; Bladder (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JAR",COSS907175,"
              Placenta (Choriocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                JEG-3",COSS907176,"
              Placenta (Choriocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                JEKO-1",COSS1327765,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; B cell lymphoma unspecified)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JHH-1",COSS1298151,"
              Liver (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JHH-2",COSS1240157,"
              Liver (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JHH-4",COSS1240158,"
              Liver (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JHH-6",COSS1240159,"
              Liver (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JHH-7",COSS1240160,"
              Liver (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JHOS-2",COSS1479995,"
              Ovary (Carcinoma; Serous carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JHOS-3",COSS1480358,"
              Ovary (Carcinoma; Serous carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JHOS-4",COSS1480359,"
              Ovary (Carcinoma; Serous carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JHU-011",COSS1240161,"
              Upper aerodigestive tract; Head neck (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JHU-022",COSS1240162,"
              Upper aerodigestive tract; Head neck (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JHU-029",COSS1298156,"
              Upper aerodigestive tract; Head neck (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JIMT-1",COSS1298157,"
              Breast (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JJN-3",COSS1327766,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; Plasma cell myeloma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JM1",COSS1327768,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; B cell lymphoma unspecified)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JSC-1",COSS1327769,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; B cell lymphoma unspecified)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JURL-MK1",COSS1327771,"
              Haematopoietic and lymphoid (Haematopoietic neoplasm; Chronic myeloid leukaemia)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                JVM-2",COSS907269,"
              Haematopoietic and lymphoid; Lymph node (Lymphoid neoplasm; Chronic lymphocytic leukaemia-small lymphocytic lymphoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                JVM-3",COSS907270,"
              Haematopoietic and lymphoid; Lymph node (Lymphoid neoplasm; Chronic lymphocytic leukaemia-small lymphocytic lymphoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                JiyoyeP-2003",COSS907268,"
              Haematopoietic and lymphoid; Liver (Lymphoid neoplasm; Burkitt lymphoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                Jurkat",COSS998184,"
              Haematopoietic and lymphoid (Lymphoid neoplasm)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                K-562",COSS905940,"
              Haematopoietic and lymphoid (Haematopoietic neoplasm; Chronic myeloid leukaemia)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                K2",COSS1298160,"
              Skin (Malignant melanoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                K5",COSS924238,"
              Thyroid (Carcinoma; Follicular carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                KALS-1",COSS907271,"
              Central nervous system; Brain (Glioma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                KARPAS-1106P",COSS1327773,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; B cell lymphoma unspecified)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                KARPAS-231",COSS1327774,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; Acute lymphoblastic B cell leukaemia)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                KARPAS-299",COSS907273,"
              Haematopoietic and lymphoid; Skin (Lymphoid neoplasm; Anaplastic large cell lymphoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                KARPAS-422",COSS907274,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; Diffuse large B cell lymphoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                KARPAS-45",COSS907272,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; Acute lymphoblastic leukaemia)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                KARPAS-620",COSS1327775,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; Plasma cell myeloma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                KASUMI-1",COSS907275,"
              Haematopoietic and lymphoid (Haematopoietic neoplasm; Acute myeloid leukaemia; M2)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                KATOIII",COSS907276,"
              Stomach (Carcinoma; Adenocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                KCL-22",COSS1330931,"
              Haematopoietic and lymphoid (Haematopoietic neoplasm; Chronic myeloid leukaemia)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                KE-37",COSS907277,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; Acute lymphoblastic leukaemia)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                KELLY",COSS753618,"
              Autonomic ganglia (Neuroblastoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                KG-1",COSS907278,"
              Haematopoietic and lymphoid (Haematopoietic neoplasm; Acute myeloid leukaemia; M6)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                KGN",COSS924186,"
              Ovary (Sex cord-stromal tumour; Granulosa cell tumour)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
